WU_PRTNO,WU_DESC
571-073682-17646,"CONFIG,TM,VTM, 2300"
571-073682-001,"CONFIG,TM,VTM, 2300"
571-073682-906,"CONFIG,TM,VTM, 2300"
571-073682-65679,"CONFIG,TM,VTM, 2300"
571-073682-59301,"CONFIG,TM,VTM, 2300"
571-073682-60687,"CONFIG,TM,VTM, 2300"
571-073682-61079,"CONFIG,TM,VTM, 2300"
571-073682-61083,"CONFIG,TM,VTM, 2300"
571-073682-62341,"CONFIG,TM,VTM, 2300"
571-073682-62350,"CONFIG,TM,VTM, 2300"
571-073682-62351,"CONFIG,TM,VTM, 2300"
571-073682-63332,"CONFIG,TM,VTM, 2300"
571-073682-63335,"CONFIG,TM,VTM, 2300"
571-073682-63666,"CONFIG,TM,VTM, 2300"
571-073682-63668,"CONFIG,TM,VTM, 2300"
571-073682-65204,"CONFIG,TM,VTM, 2300"
571-073682-67176,"CONFIG,TM,VTM, 2300"
571-073682-67573,"CONFIG,TM,VTM, 2300"
571-073682-68183,"CONFIG,TM,VTM, 2300"
571-073682-68216,"CONFIG,TM,VTM, 2300"
571-073682-55634,"CONFIG,TM,VTM, 2300"
571-073682-56668,"CONFIG,TM,VTM, 2300"
571-073682-58003,"CONFIG,TM,VTM, 2300"
571-073682-58182,"CONFIG,TM,VTM, 2300"
571-073682-58530,"CONFIG,TM,VTM, 2300"
571-073682-58700,"CONFIG,TM,VTM, 2300"
571-073682-59085,"CONFIG,TM,VTM, 2300"
571-073682-59087,"CONFIG,TM,VTM, 2300"
571-073682-59088,"CONFIG,TM,VTM, 2300"
571-073682-59302,"CONFIG,TM,VTM, 2300"
571-073682-59931,"CONFIG,TM,VTM, 2300"
571-073682-60322,"CONFIG,TM,VTM, 2300"
571-073682-60533,"CONFIG,TM,VTM, 2300"
571-073682-60705,"CONFIG,TM,VTM, 2300"
571-073682-61081,"CONFIG,TM,VTM, 2300"
571-073682-61367,"CONFIG,TM,VTM, 2300"
571-073682-61840,"CONFIG,TM,VTM, 2300"
571-073682-62277,"CONFIG,TM,VTM, 2300"
571-073682-62309,"CONFIG,TM,VTM, 2300"
571-073682-62311,"CONFIG,TM,VTM, 2300"
571-073682-62313,"CONFIG,TM,VTM, 2300"
571-073682-62318,"CONFIG,TM,VTM, 2300"
571-073682-62319,"CONFIG,TM,VTM, 2300"
571-073682-62321,"CONFIG,TM,VTM, 2300"
571-073682-62340,"CONFIG,TM,VTM, 2300"
571-073682-62356,"CONFIG,TM,VTM, 2300"
571-073682-62361,"CONFIG,TM,VTM, 2300"
571-073682-63164,"CONFIG,TM,VTM, 2300"
571-073682-63208,"CONFIG,TM,VTM, 2300"
571-073682-63267,"CONFIG,TM,VTM, 2300"
571-073682-63472,"CONFIG,TM,VTM, 2300"
571-073682-63473,"CONFIG,TM,VTM, 2300"
571-073682-63532,"CONFIG,TM,VTM, 2300"
571-073682-63535,"CONFIG,TM,VTM, 2300"
571-073682-63536,"CONFIG,TM,VTM, 2300"
571-073682-63749,"CONFIG,TM,VTM, 2300"
571-073682-64481,"CONFIG,TM,VTM, 2300"
571-073682-64506,"CONFIG,TM,VTM, 2300"
571-073682-64508,"CONFIG,TM,VTM, 2300"
571-073682-64545,"CONFIG,TM,VTM, 2300"
571-073682-64551,"CONFIG,TM,VTM, 2300"
571-073682-65205,"CONFIG,TM,VTM, 2300"
571-073682-65317,"CONFIG,TM,VTM, 2300"
571-073682-65331,"CONFIG,TM,VTM, 2300"
571-073682-65677,"CONFIG,TM,VTM, 2300"
571-073682-65678,"CONFIG,TM,VTM, 2300"
571-073682-65716,"CONFIG,TM,VTM, 2300"
571-073682-66203,"CONFIG,TM,VTM, 2300"
571-073682-66341,"CONFIG,TM,VTM, 2300"
571-073682-66396,"CONFIG,TM,VTM, 2300"
571-073682-66444,"CONFIG,TM,VTM, 2300"
571-073682-66451,"CONFIG,TM,VTM, 2300"
571-073682-66455,"CONFIG,TM,VTM, 2300"
571-073682-66458A,"CONFIG,TM,VTM, 2300"
571-073682-66460,"CONFIG,TM,VTM, 2300"
571-073682-66500,"CONFIG,TM,VTM, 2300"
571-073682-66617,"CONFIG,TM,VTM, 2300"
571-073682-66679,"CONFIG,TM,VTM, 2300"
571-073682-66718,"CONFIG,TM,VTM, 2300"
571-073682-66816,"CONFIG,TM,VTM, 2300"
571-073682-66817,"CONFIG,TM,VTM, 2300"
571-073682-66837,"CONFIG,TM,VTM, 2300"
571-073682-66955,"CONFIG,TM,VTM, 2300"
571-073682-66963,"CONFIG,TM,VTM, 2300"
571-073682-67082,"CONFIG,TM,VTM, 2300"
571-073682-67084,"CONFIG,TM,VTM, 2300"
571-073682-67085,"CONFIG,TM,VTM, 2300"
571-073682-67086,"CONFIG,TM,VTM, 2300"
571-073682-67087,"CONFIG,TM,VTM, 2300"
571-073682-67088,"CONFIG,TM,VTM, 2300"
571-073682-67139,"CONFIG,TM,VTM, 2300"
571-073682-67142,"CONFIG,TM,VTM, 2300"
571-073682-67145,"CONFIG,TM,VTM, 2300"
571-073682-67189,"CONFIG,TM,VTM, 2300"
571-073682-67320,"CONFIG,TM,VTM, 2300"
571-073682-67321,"CONFIG,TM,VTM, 2300"
571-073682-67323,"CONFIG,TM,VTM, 2300"
571-073682-67326,"CONFIG,TM,VTM, 2300"
571-073682-67327,"CONFIG,TM,VTM, 2300"
571-073682-67613,"CONFIG,TM,VTM, 2300"
571-073682-67619,"CONFIG,TM,VTM, 2300"
571-073682-67731,"CONFIG,TM,VTM, 2300"
571-073682-67793,"CONFIG,TM,VTM, 2300"
571-073682-67795,"CONFIG,TM,VTM, 2300"
571-073682-68037,"CONFIG,TM,VTM, 2300"
571-073682-68158,"CONFIG,TM,VTM, 2300"
571-073682-68470,"CONFIG,TM,VTM, 2300"
571-073682-68973,"CONFIG,TM,VTM, 2300"
571-073682-70096,"CONFIG,TM,VTM, 2300"
571-073682-70100,"CONFIG,TM,VTM, 2300"
571-073682-70101,"CONFIG,TM,VTM, 2300"
571-073682-70104,"CONFIG,TM,VTM, 2300"
571-073682-70106,"CONFIG,TM,VTM, 2300"
